Seed,Pass/Fail,log2traces inner hash,log2traces outer hash,log2 hypotheses inner hash,log2 hypotheses outer hash,total time,inner time - 15,outer time - 15,inner time - 16,outer time - 16,inner time - 17,outer time - 17,inner time - 18,outer time - 18,inner time - 19,outer time - 19,inner time - 20,outer time - 20,inner time - 21,outer time - 21,inner time - 22,outer time - 22,inner time - 23,outer time - 23,inner time - 24,outer time - 24,inner time - 25,outer time - 25,inner time - 26,outer time - 26,inner time - 27,outer time - 27,inner time - 28,outer time - 28,inner time - 29,outer time - 29,inner time - 30,outer time - 30
0,Success,15,18,1,1,4.237,0.346,0.114,,0.273,,0.524,,2.98,,,,,,,,,,,,,,,,,,,,,,,,
1,Success,16,15,2,1,1.286,0.006,0.46,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Success,16,15,0,1,0.841,0.01,0.474,0.358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Success,15,18,3,1,4.55,0.593,0.124,,0.286,,0.551,,2.996,,,,,,,,,,,,,,,,,,,,,,,,
4,Success,15,16,0,1,1.163,0.199,0.091,,0.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Success,15,16,1,1,1.075,0.347,0.099,,0.628,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Success,15,15,1,1,0.683,0.218,0.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Success,15,16,2,1,1.157,0.417,0.103,,0.637,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Success,15,15,1,1,0.705,0.236,0.469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Success,15,16,1,1,1.343,0.348,0.119,,0.876,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Success,17,15,1,1,1.247,0.03,0.466,0.037,,0.714,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Success,19,16,0,2,3.888,0.023,0.095,0.046,0.971,0.085,,0.174,,2.493,,,,,,,,,,,,,,,,,,,,,,,
12,Success,16,16,1,1,1.633,0.029,0.127,0.617,0.861,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Success,17,17,1,4,5.551,0.022,0.117,0.04,0.304,1.111,3.957,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Success,15,19,1,1,6.711,0.217,0.089,,0.293,,0.559,,1.125,,4.428,,,,,,,,,,,,,,,,,,,,,,
15,Success,16,15,0,1,0.702,0.028,0.318,0.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Success,15,15,1,0,0.643,0.346,0.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Success,17,15,0,1,1.169,0.022,0.465,0.04,,0.643,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Success,15,16,1,1,1.309,0.348,0.089,,0.871,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Success,16,22,0,0,73.808,0.046,0.094,0.356,0.232,,0.456,,0.937,,2.049,,8.874,,14.075,,46.687,,,,,,,,,,,,,,,,
20,Success,15,16,1,0,1.042,0.346,0.112,,0.584,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Success,15,15,4,1,1.832,1.514,0.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Success,16,15,1,2,1.472,0.044,0.806,0.622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Success,15,15,1,0,0.515,0.218,0.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Success,15,17,1,0,1.779,0.346,0.106,,0.253,,1.074,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Success,17,16,0,0,1.445,0.015,0.133,0.076,0.58,0.641,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Success,16,17,1,3,2.517,0.02,0.117,0.392,0.272,,1.715,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Success,17,18,2,1,4.052,0.024,0.092,0.078,0.234,0.9,0.471,,2.252,,,,,,,,,,,,,,,,,,,,,,,,
28,Success,16,18,0,0,3.271,0.009,0.095,0.358,0.238,,0.471,,2.1,,,,,,,,,,,,,,,,,,,,,,,,
29,Success,15,16,0,1,0.916,0.198,0.091,,0.627,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Success,15,16,2,0,1.103,0.4,0.118,,0.585,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Success,15,15,3,1,0.941,0.474,0.467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Success,17,15,1,0,1.126,0.042,0.296,0.076,,0.712,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Success,15,16,0,1,1.202,0.201,0.121,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Success,17,18,1,1,3.81,0.027,0.089,0.041,0.232,0.746,0.457,,2.217,,,,,,,,,,,,,,,,,,,,,,,,
35,Success,18,15,2,1,3.065,0.014,0.463,0.029,,0.054,,2.505,,,,,,,,,,,,,,,,,,,,,,,,,
36,Success,16,16,2,1,1.428,0.029,0.09,0.69,0.619,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Success,15,16,1,1,1.202,0.234,0.099,,0.869,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Success,16,17,0,2,2.432,0.027,0.1,0.356,0.245,,1.705,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Success,16,15,1,1,0.981,0.046,0.318,0.617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Success,16,15,0,0,0.703,0.043,0.302,0.358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Success,15,17,1,0,1.774,0.347,0.104,,0.251,,1.072,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Success,20,17,1,0,7.851,0.018,0.094,0.061,0.235,0.118,1.059,0.215,,0.466,,5.584,,,,,,,,,,,,,,,,,,,,,
43,Success,18,15,1,0,2.638,0.017,0.296,0.07,,0.14,,2.116,,,,,,,,,,,,,,,,,,,,,,,,,
44,Success,15,15,1,0,0.646,0.346,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Success,18,16,0,1,2.202,0.018,0.108,0.076,0.616,0.146,,1.238,,,,,,,,,,,,,,,,,,,,,,,,,
46,Success,17,16,1,0,1.835,0.01,0.102,0.022,0.58,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Success,16,16,7,1,11.653,0.019,0.114,10.854,0.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Success,16,15,3,1,2.764,0.054,0.476,2.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Success,15,16,1,1,1.355,0.348,0.129,,0.878,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Success,16,16,1,1,1.199,0.029,0.134,0.4,0.637,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Success,16,17,1,0,1.832,0.015,0.101,0.395,0.242,,1.079,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Success,15,15,0,0,0.497,0.199,0.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Success,15,15,2,1,0.608,0.291,0.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Success,15,20,0,0,13.66,0.2,0.103,,0.251,,0.486,,0.982,,1.997,,9.64,,,,,,,,,,,,,,,,,,,,
55,Success,16,17,1,1,2.22,0.052,0.103,0.622,0.267,,1.178,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Success,15,16,0,1,1.185,0.2,0.125,,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Success,16,16,1,1,1.631,0.028,0.118,0.62,0.865,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Success,16,16,0,1,1.124,0.035,0.092,0.357,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Success,15,15,4,0,1.959,1.659,0.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Success,16,18,1,1,4.351,0.007,0.095,0.393,0.287,,0.568,,3.001,,,,,,,,,,,,,,,,,,,,,,,,
61,Success,16,16,0,3,2.063,0.015,0.106,0.356,1.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Success,16,15,0,3,1.379,0.048,0.976,0.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Success,15,17,0,1,1.74,0.199,0.105,,0.29,,1.146,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Success,15,16,0,0,0.916,0.2,0.128,,0.588,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Success,16,22,0,1,97.351,0.037,0.125,0.355,0.288,,0.565,,1.131,,2.26,,9.4,,14.796,,68.396,,,,,,,,,,,,,,,,
66,Success,17,17,0,1,2.708,0.025,0.13,0.049,0.296,0.642,1.566,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Success,15,15,1,0,0.643,0.345,0.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Success,17,15,0,2,1.253,0.015,0.504,0.089,,0.645,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Success,16,15,1,3,1.418,0.043,0.981,0.394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Success,15,16,1,3,1.368,0.346,0.107,,0.915,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Success,17,15,2,1,1.824,0.022,0.463,0.072,,1.267,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Success,16,15,2,0,0.845,0.044,0.297,0.504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Success,17,15,1,1,1.752,0.045,0.465,0.088,,1.154,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Success,16,16,2,1,2.15,0.032,0.099,1.152,0.867,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Success,15,16,1,0,0.944,0.218,0.132,,0.593,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Success,16,19,2,1,8.785,0.04,0.096,0.731,0.291,,0.563,,1.12,,5.943,,,,,,,,,,,,,,,,,,,,,,
77,Success,16,15,1,1,1.121,0.04,0.464,0.617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Success,16,17,1,1,2.137,0.008,0.105,0.618,0.269,,1.136,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Success,15,17,2,1,1.963,0.435,0.108,,0.279,,1.141,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Success,16,16,1,2,1.277,0.042,0.127,0.396,0.713,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Success,15,15,0,1,0.666,0.199,0.467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Success,18,16,2,1,3.683,0.039,0.108,0.029,0.858,0.138,,2.511,,,,,,,,,,,,,,,,,,,,,,,,,
83,Success,15,16,1,0,0.928,0.216,0.127,,0.585,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Success,16,15,0,0,0.693,0.035,0.301,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Success,19,17,0,0,4.523,0.04,0.125,0.077,0.29,0.141,1.08,0.267,,2.502,,,,,,,,,,,,,,,,,,,,,,,
86,Success,16,16,0,1,1.417,0.045,0.133,0.361,0.878,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Success,16,17,0,1,1.822,0.013,0.089,0.355,0.232,,1.133,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Success,17,25,0,0,920.172,0.01,0.09,0.022,0.232,0.642,0.46,,0.954,,1.925,,8.273,,18.241,,34.559,,87.836,,169.974,,596.955,,,,,,,,,,
89,Success,15,17,1,1,2.119,0.217,0.101,,0.248,,1.553,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Success,17,18,0,2,4.16,0.042,0.102,0.076,0.254,0.643,0.507,,2.537,,,,,,,,,,,,,,,,,,,,,,,,
91,Success,15,16,1,0,1.046,0.348,0.113,,0.584,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Success,16,15,1,1,1.104,0.012,0.469,0.623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Success,15,20,1,0,13.82,0.348,0.098,,0.262,,0.521,,1.039,,2.09,,9.461,,,,,,,,,,,,,,,,,,,,
94,Success,16,17,1,2,2.339,0.01,0.119,0.622,0.274,,1.314,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Success,16,16,2,1,2.162,0.044,0.104,1.147,0.865,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Success,18,15,1,1,2.568,0.019,0.32,0.035,,0.059,,2.135,,,,,,,,,,,,,,,,,,,,,,,,,
97,Success,19,17,1,1,6.366,0.048,0.095,0.094,0.231,0.174,1.127,0.333,,4.265,,,,,,,,,,,,,,,,,,,,,,,
98,Success,16,15,3,0,1.384,0.009,0.299,1.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Success,17,17,0,1,2.645,0.01,0.109,0.022,0.256,0.655,1.591,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Success,18,16,0,0,2.052,0.015,0.121,0.031,0.585,0.058,,1.242,,,,,,,,,,,,,,,,,,,,,,,,,
101,Success,15,15,3,0,0.663,0.366,0.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Success,15,19,0,4,13.029,0.199,0.116,,0.269,,0.52,,1.076,,10.848,,,,,,,,,,,,,,,,,,,,,,
103,Success,16,16,1,0,1.316,0.014,0.101,0.62,0.581,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Success,18,16,1,0,2.912,0.012,0.121,0.022,0.578,0.041,,2.139,,,,,,,,,,,,,,,,,,,,,,,,,
105,Success,15,15,0,0,0.495,0.199,0.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Success,16,17,1,1,1.971,0.022,0.094,0.423,0.298,,1.134,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Success,15,17,1,1,2.268,0.345,0.098,,0.27,,1.555,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Success,16,17,2,2,2.981,0.033,0.121,0.764,0.297,,1.766,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Success,17,15,1,0,1.091,0.027,0.297,0.049,,0.718,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Success,17,15,0,1,1.141,0.012,0.465,0.022,,0.643,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Success,17,15,0,0,1.025,0.029,0.297,0.052,,0.647,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Success,15,18,1,1,4.16,0.344,0.103,,0.254,,0.488,,2.972,,,,,,,,,,,,,,,,,,,,,,,,
113,Success,17,15,0,1,1.094,0.048,0.314,0.093,,0.639,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Success,16,16,1,0,1.113,0.027,0.109,0.395,0.582,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Success,16,16,1,1,1.356,0.022,0.09,0.622,0.622,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Success,15,17,1,4,6.758,0.347,0.097,,0.284,,6.029,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Success,16,16,0,2,1.615,0.037,0.123,0.356,1.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Success,15,19,2,1,8.428,0.4,0.119,,0.278,,0.553,,1.107,,5.972,,,,,,,,,,,,,,,,,,,,,,
119,Success,15,15,0,0,0.497,0.199,0.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Success,17,20,1,2,19.622,0.029,0.089,0.052,0.25,1.122,0.517,,1.001,,2.169,,14.393,,,,,,,,,,,,,,,,,,,,
121,Success,16,15,1,0,0.718,0.024,0.301,0.394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Success,15,15,2,2,1.058,0.263,0.795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Success,15,16,1,1,0.955,0.219,0.111,,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Success,17,18,0,1,3.747,0.029,0.096,0.055,0.236,0.647,0.473,,2.211,,,,,,,,,,,,,,,,,,,,,,,,
125,Success,17,16,0,0,1.403,0.033,0.093,0.061,0.577,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Success,16,15,1,1,0.754,0.033,0.327,0.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Success,17,15,2,0,1.462,0.027,0.318,0.05,,1.067,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Success,15,16,1,2,1.268,0.217,0.112,,0.939,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Success,16,15,1,3,0.903,0.021,0.469,0.413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Success,17,16,1,0,1.91,0.04,0.106,0.073,0.58,1.112,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Success,17,20,1,1,15.224,0.03,0.111,0.088,0.264,0.718,0.537,,1.042,,2.178,,10.256,,,,,,,,,,,,,,,,,,,,
132,Success,16,15,1,1,0.869,0.008,0.465,0.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Success,16,15,0,0,0.685,0.027,0.301,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Success,18,15,1,1,2.804,0.024,0.466,0.04,,0.153,,2.122,,,,,,,,,,,,,,,,,,,,,,,,,
135,Success,18,16,1,1,3.265,0.024,0.121,0.049,0.861,0.085,,2.125,,,,,,,,,,,,,,,,,,,,,,,,,
136,Success,15,17,1,2,2.339,0.236,0.116,,0.282,,1.705,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Success,16,15,0,1,0.841,0.018,0.466,0.358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Success,17,18,0,0,3.576,0.015,0.093,0.031,0.239,0.649,0.462,,2.087,,,,,,,,,,,,,,,,,,,,,,,,
139,Success,16,17,1,2,3.581,0.042,0.11,0.635,0.261,,2.533,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Success,15,16,1,0,1.045,0.344,0.118,,0.584,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Success,15,15,1,1,0.811,0.346,0.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Success,15,16,1,1,1.083,0.349,0.105,,0.629,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Success,15,16,2,0,1.131,0.406,0.124,,0.601,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Success,15,16,3,3,2.548,0.711,0.089,,1.748,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Success,16,15,1,0,0.926,0.01,0.297,0.619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Success,16,15,0,3,1.251,0.009,0.885,0.358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Success,15,15,0,3,1.668,0.2,1.468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Success,15,15,0,1,0.517,0.2,0.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Success,15,15,1,0,0.518,0.219,0.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Success,17,15,1,1,1.1,0.014,0.315,0.026,,0.746,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Success,16,16,1,0,1.351,0.052,0.103,0.617,0.579,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Success,18,16,0,0,2.134,0.027,0.13,0.052,0.581,0.108,,1.237,,,,,,,,,,,,,,,,,,,,,,,,,
153,Success,16,15,0,1,0.851,0.03,0.466,0.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Success,15,18,1,1,4.299,0.345,0.118,,0.278,,0.554,,3.003,,,,,,,,,,,,,,,,,,,,,,,,
155,Success,17,15,1,1,1.626,0.012,0.465,0.028,,1.121,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Success,19,16,0,1,4.115,0.052,0.092,0.095,0.889,0.175,,0.334,,2.478,,,,,,,,,,,,,,,,,,,,,,,
157,Success,19,17,2,0,6.715,0.031,0.12,0.056,0.298,0.104,1.074,0.209,,4.822,,,,,,,,,,,,,,,,,,,,,,,
158,Success,22,15,0,1,28.623,0.015,0.485,0.037,,0.069,,0.141,,0.257,,0.562,,1.376,,25.68,,,,,,,,,,,,,,,,,
159,Success,15,15,1,1,0.684,0.218,0.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Success,17,15,1,1,1.639,0.014,0.468,0.026,,1.131,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Success,17,17,0,1,2.229,0.015,0.112,0.028,0.272,0.649,1.153,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Success,16,15,0,0,0.678,0.014,0.306,0.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Success,16,15,1,0,0.742,0.026,0.304,0.413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Success,15,15,0,1,0.677,0.202,0.474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Success,15,15,1,2,1.036,0.229,0.807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Success,15,16,0,3,2.073,0.198,0.112,,1.763,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Success,15,18,1,1,3.34,0.218,0.098,,0.24,,0.469,,2.315,,,,,,,,,,,,,,,,,,,,,,,,
168,Success,16,16,1,0,1.1,0.01,0.114,0.396,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Success,15,15,0,1,0.663,0.199,0.464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Success,16,16,4,1,3.071,0.027,0.088,2.095,0.861,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Success,15,15,0,1,0.517,0.199,0.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Success,18,15,4,1,9.417,0.037,0.464,0.076,,0.14,,8.699,,,,,,,,,,,,,,,,,,,,,,,,,
173,Success,16,15,2,1,1.032,0.016,0.318,0.699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,Success,15,17,1,1,1.698,0.219,0.093,,0.233,,1.153,,,,,,,,,,,,,,,,,,,,,,,,,,
175,Success,17,15,0,1,1.007,0.012,0.318,0.025,,0.652,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Success,18,15,1,1,2.634,0.018,0.315,0.034,,0.147,,2.12,,,,,,,,,,,,,,,,,,,,,,,,,
177,Success,16,15,0,1,0.842,0.017,0.467,0.358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,Success,16,15,1,0,0.712,0.007,0.307,0.398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Success,15,16,1,1,1.11,0.349,0.115,,0.646,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Success,15,15,0,2,0.996,0.198,0.798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Success,17,18,2,1,4.374,0.019,0.112,0.089,0.273,1.072,0.542,,2.267,,,,,,,,,,,,,,,,,,,,,,,,
182,Success,15,17,1,0,1.82,0.345,0.122,,0.285,,1.067,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Success,15,16,0,1,0.946,0.198,0.093,,0.654,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Success,17,16,2,1,2.233,0.039,0.109,0.074,0.645,1.366,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,Success,17,17,1,1,3.113,0.023,0.102,0.049,0.248,1.121,1.569,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Success,16,18,2,0,4.15,0.044,0.11,1.149,0.265,,0.513,,2.069,,,,,,,,,,,,,,,,,,,,,,,,
187,Success,16,17,1,1,2.387,0.046,0.117,0.392,0.277,,1.553,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Success,15,16,1,4,5.25,0.227,0.088,,4.936,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Success,15,18,1,1,3.363,0.347,0.091,,0.238,,0.472,,2.215,,,,,,,,,,,,,,,,,,,,,,,,
190,Success,16,17,1,1,2.059,0.014,0.132,0.41,0.291,,1.212,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Success,15,16,1,1,1.34,0.346,0.13,,0.864,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Success,15,17,1,1,1.774,0.218,0.106,,0.3,,1.149,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Success,20,16,2,2,9.601,0.026,0.096,0.056,1.434,0.115,,0.208,,0.434,,7.232,,,,,,,,,,,,,,,,,,,,,
194,Success,15,15,0,2,0.716,0.198,0.518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
